Item No.,Item Description,Ref Standard,Pack,In Stock,InTransit Qty,Special  Price euro/1000,ETA Date
873408040QS-03,ISO 8734 DIA8x40 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,100,8100,0,61.60,
873408055QS-03,ISO 8734 DIA8x55 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,100,4500,0,80.87,
873420045QS-03,ISO 8734 DIA20x45 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,25,75,0,400.08,
873406026QS-03,ISO 8734 DIA6x26 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,500,19000,0,27.06,
873406024QS-03,ISO 8734 DIA6x24 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,500,18000,0,25.58,
873420050QS-03,ISO 8734 DIA20x50 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,25,2000,0,437.53,
873406036QS-03,ISO 8734 DIA6x36 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,500,22000,0,35.84,
873410022QS-03,ISO 8734 DIA10x22 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,100,"1,500",0,57.29,
873406030QS-03,ISO 8734 DIA6x30 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,500,16000,0,29.74,
873405040QS-03,ISO 8734 DIA5x40 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,200,15200,0,27.21,
873410060QS-03,ISO 8734 DIA10x60 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,50,3050,0,131.25,
873412030QS-03,ISO 8734 DIA12x30 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,50,4800,0,102.24,
873412045QS-03,ISO 8734 DIA12x45 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,50,4150,0,143.47,
873416045QS-03,ISO 8734 DIA16x45 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,25,2800,0,255.20,
873416060QS-03,ISO 8734 DIA16x60 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,25,4225,0,330.76,
873420060QS-03,ISO 8734 DIA20x60 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,25,850,0,512.44,
873403018QS-03,ISO 8734 DIA3x18 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,500,18000,0,11.39,
873404022QS-03,ISO 8734 DIA4x22 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,500,"29,000",0,14.31,
873404028QS-03,ISO 8734 DIA4x28 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,500,500,0,15.66,
873404030QS-03,ISO 8734 DIA4x30 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,500,10500,0,16.22,
873405014QS-03,ISO 8734 DIA5x14 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,500,97500,0,15.09,
873405016QS-03,ISO 8734 DIA5x16 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,500,87000,0,15.99,
873405050QS-03,ISO 8734 DIA5x50 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,200,18400,0,32.15,
873406032QS-03,ISO 8734 DIA6x32 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,500,27500,0,32.24,
873406045QS-03,ISO 8734 DIA6x45 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,200,10800,0,41.27,
873406050QS-03,ISO 8734 DIA6x50 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,200,9800,0,44.79,
873408022QS-03,ISO 8734 DIA8x22 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,200,20800,0,38.85,
873408045QS-03,ISO 8734 DIA8x45 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,100,"5,300",0,67.67,
873404060QS-03,ISO 8734 DIA4x60 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,200,400,0,35.82,
873410028QS-03,ISO 8734 DIA10x28 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,100,8500,0,68.80,
873405028QS-03,ISO 8734 DIA5x28 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,500,13500,0,20.93,
873406070QS-03,ISO 8734 DIA6x70 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,200,11400,0,59.84,
873408014QS-03,ISO 8734 DIA8x14 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,200,18400,0,29.10,
873410030QS-03,ISO 8734 DIA10x30 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,100,16200,0,72.42,
873404012QS-03,ISO 8734 DIA4x12 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,1000,18000,0,11.84,
873404018QS-03,ISO 8734 DIA4x18 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,500,24500,0,13.30,
873405010QS-03,ISO 8734 DIA5x10 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,1000,26000,0,13.41,
873405012QS-03,ISO 8734 DIA5x12 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,1000,"62,000",0,14.31,
873406020QS-03,ISO 8734 DIA6x20 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,500,5500,0,22.76,
873408030QS-03,ISO 8734 DIA8x30 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,100,11400,0,48.49,
873408036QS-03,ISO 8734 DIA8x36 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,100,3900,0,56.76,
873406028QS-03,ISO 8734 DIA6x28 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,500,34500,0,28.39,
873412026QS-03,ISO 8734 DIA12x26 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,50,6050,0,91.43,
873412050QS-03,ISO 8734 DIA12x50 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,50,18250,0,157.34,
873408024QS-03,ISO 8734 DIA8x24 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,200,21200,0,41.28,
873410024QS-03,ISO 8734 DIA10x24 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,100,29300,0,61.25,
873404014QS-03,ISO 8734 DIA4x14 PARALLEL PINS 52-56 HRC GRINDING+OIL m6,ISO 8734,500,4500,0,12.28,
